Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
472743498,000000A8,false,Rx,0,8,01,92,1D,A1,82,64,2C,0E,
472743737,00000107,false,Rx,0,8,00,00,F8,2C,01,00,3F,A6,
472743981,00000120,false,Rx,0,8,4F,09,00,02,01,08,FF,01,
472744216,00000121,false,Rx,0,8,AE,09,00,00,37,5A,7E,FE,
472744450,00000147,false,Rx,0,8,00,00,00,00,F0,A3,60,1D,
472744686,00000391,false,Rx,0,8,12,8C,22,4A,00,27,00,22,
472744913,000003BE,false,Rx,0,8,6A,0D,E6,00,C8,80,00,80,
472745090,000000AF,false,Rx,0,4,83,7E,00,00,00,00,00,00,
472745265,000003C0,false,Rx,0,4,C1,01,03,00,00,00,00,00,
472745498,000003C7,false,Rx,0,8,01,10,24,00,00,40,80,00,
472745760,000003D6,false,Rx,0,8,00,00,00,00,00,00,30,00,
472746179,00000086,false,Rx,0,8,36,02,2C,20,00,00,00,00,
472746531,0000012B,false,Rx,0,8,77,41,40,28,00,00,00,00,
472752713,00000570,false,Rx,0,8,FF,00,00,00,00,00,00,00,
472752718,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472752723,000000FD,false,Rx,0,8,58,D8,1F,80,00,00,00,00,
472752729,00000116,false,Rx,0,8,DA,08,01,00,20,00,00,FF,
472752734,000005F0,false,Rx,0,8,FD,00,64,00,00,64,00,00,
472752739,000000AD,false,Rx,0,8,74,E5,BF,FF,00,14,00,00,
472752745,000000AE,false,Rx,0,8,E1,05,00,00,FF,3C,01,02,
472752750,00000128,false,Rx,0,3,84,2A,D8,00,00,00,00,00,
472752755,000005AC,false,Rx,0,8,00,00,FF,FE,FE,F7,07,00,
472752760,0000012D,false,Rx,0,8,89,83,7F,00,00,00,FE,3F,
472753277,000000A7,false,Rx,0,8,BD,03,E0,7F,FD,FD,97,3D,
472753512,000000A8,false,Rx,0,8,9E,93,1D,A1,82,64,24,0E,
472755230,000000AF,false,Rx,0,4,83,7F,00,00,00,00,00,00,
472756170,00000086,false,Rx,0,8,52,03,2C,20,00,00,00,00,
472757468,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472757752,00000101,false,Rx,0,8,7D,09,80,00,A2,00,00,00,
472757995,00000106,false,Rx,0,8,1D,09,63,00,02,00,00,00,
472758229,0000011E,false,Rx,0,8,E1,09,00,00,00,00,00,00,
472759131,1B000010,true,Rx,0,8,10,00,04,05,11,00,00,00,
472761298,000000AD,false,Rx,0,8,6A,E6,BF,FF,00,14,00,00,
472761551,000000AE,false,Rx,0,8,BA,06,00,00,FF,3C,01,02,
472761858,000000B1,false,Rx,0,8,30,28,00,00,00,00,00,00,
472762131,16A95414,true,Rx,0,8,00,30,7E,C3,0F,00,00,00,
472763291,000000A7,false,Rx,0,8,87,04,E0,7F,FD,FD,97,3D,
