Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
61136147,00000106,false,Rx,0,8,C6,0C,63,00,02,00,00,00,
61136152,00000128,false,Rx,0,3,80,00,00,00,00,00,00,00,
61136157,0000011E,false,Rx,0,8,3A,0C,00,00,00,00,00,00,
61136163,0000012D,false,Rx,0,8,7B,8A,7F,00,00,00,FE,3F,
61136168,000003C0,false,Rx,0,4,BF,0B,03,00,00,00,00,00,
61136173,000003D6,false,Rx,0,8,07,00,00,00,00,00,30,00,
61136179,000000A7,false,Rx,0,8,95,5B,60,80,FD,09,48,3D,
61136185,000000A8,false,Rx,0,8,16,4B,1D,21,83,64,E8,0C,
61136191,000000AF,false,Rx,0,4,83,7C,00,00,00,00,00,00,
61136196,1B000053,true,Rx,0,8,53,00,04,01,01,00,00,00,
61136203,000005F0,false,Rx,0,8,FD,00,64,00,00,64,00,00,
61136208,00000365,false,Rx,0,8,AA,06,27,00,94,0F,9C,7A,
61138209,00000086,false,Rx,0,8,91,0A,04,20,00,00,00,00,
61139363,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
61139598,000000AD,false,Rx,0,8,41,E4,BF,FF,00,14,00,00,
61139832,000000FD,false,Rx,0,8,90,DC,1F,80,00,00,00,00,
61140067,000000AE,false,Rx,0,8,1A,04,00,00,FF,3C,01,02,
61140316,00000116,false,Rx,0,8,87,0C,01,04,00,00,00,FF,
61142474,000000AF,false,Rx,0,4,83,7D,00,00,00,00,00,00,
61142906,000000A7,false,Rx,0,8,01,5C,A0,80,FD,09,48,3D,
61143141,000000A8,false,Rx,0,8,0D,4C,1D,61,83,64,EC,0C,
61143373,00000107,false,Rx,0,8,00,00,F8,0B,01,00,8B,C9,
61143609,00000120,false,Rx,0,8,39,0E,00,02,01,08,FF,01,
61143842,00000121,false,Rx,0,8,F6,0E,00,00,36,50,7E,FE,
61144098,00000147,false,Rx,0,8,00,00,00,00,F0,C3,00,1D,
61145045,0000030B,false,Rx,0,8,10,2C,00,00,08,00,00,10,
61146014,000005AC,false,Rx,0,8,00,00,FF,FE,FE,F7,07,00,
61148021,1B000015,true,Rx,0,8,15,00,04,02,01,00,00,00,
61148267,00000086,false,Rx,0,8,F5,0B,04,20,00,00,00,00,
61149366,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
61149601,000000AD,false,Rx,0,8,74,E5,BF,FF,00,14,00,00,
61149835,00000101,false,Rx,0,8,A9,0D,80,01,A2,05,00,00,
61150069,000000AE,false,Rx,0,8,E1,05,00,00,FF,3C,01,02,
61156162,00000106,false,Rx,0,8,A2,0D,63,00,02,00,00,00,
61156168,00000128,false,Rx,0,3,84,EC,38,00,00,00,00,00,
61156173,0000011E,false,Rx,0,8,5E,0D,00,00,00,00,00,00,
61156178,0000012D,false,Rx,0,8,60,8B,7F,00,00,00,FE,3F,
61156184,0000012B,false,Rx,0,8,B7,46,40,28,00,00,00,00,
61156190,1B000076,true,Rx,0,8,76,00,04,01,01,00,0A,00,
61156196,000003B5,false,Rx,0,8,86,FE,12,39,0C,7C,20,00,
61156202,000000A7,false,Rx,0,8,F1,5D,A0,80,FD,09,48,3D,
61156208,000000A8,false,Rx,0,8,15,4D,3D,61,83,64,F4,0C,
61156213,000000AF,false,Rx,0,4,83,7E,00,00,00,00,00,00,
61156218,1B000010,true,Rx,0,8,10,00,04,05,11,00,00,00,
61156224,16A95414,true,Rx,0,8,00,60,7E,C3,0F,00,00,00,
61158209,00000086,false,Rx,0,8,E6,0C,04,20,00,00,00,00,
61159383,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
61159618,000000AD,false,Rx,0,8,6A,E6,BF,FF,00,14,00,00,
61159853,000000FD,false,Rx,0,8,19,DD,1F,80,00,00,00,00,
