Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
94061171,000003D8,false,Rx,0,8,00,00,08,00,00,00,00,00,
94061176,00000086,false,Rx,0,8,2A,06,01,20,00,00,00,00,
94061182,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
94061188,000000FD,false,Rx,0,8,26,DA,1F,80,00,00,00,00,
94061194,00000116,false,Rx,0,8,F0,0A,01,04,00,00,00,FF,
94061201,00000392,false,Rx,0,8,00,2B,00,00,00,00,00,04,
94061403,000000AD,false,Rx,0,8,48,E0,BF,FF,00,14,00,00,
94061659,000000AE,false,Rx,0,8,DF,00,00,00,FF,3C,01,02,
94061835,000000AF,false,Rx,0,4,83,79,7C,01,00,00,00,00,
94062638,000000A7,false,Rx,0,8,CD,E8,5F,7F,FD,F5,B7,3D,
94062874,000000A8,false,Rx,0,8,AB,B8,1D,61,82,64,30,0E,
94063108,00000107,false,Rx,0,8,00,00,F8,2C,01,00,A5,83,
94063363,00000120,false,Rx,0,8,E2,0C,00,02,01,08,FF,01,
94063597,00000121,false,Rx,0,8,DF,0C,00,80,37,5A,7E,FE,
94063832,00000147,false,Rx,0,8,00,00,00,00,F0,93,60,1D,
94065034,000003DB,false,Rx,0,8,50,00,01,04,07,24,01,A3,
94068745,00000086,false,Rx,0,8,4E,07,01,20,00,00,00,00,
94069594,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
94069874,00000101,false,Rx,0,8,6B,0B,80,01,A2,04,00,00,
94070148,00000106,false,Rx,0,8,D5,0B,63,00,02,00,00,00,
94070397,0000011E,false,Rx,0,8,29,0B,00,00,00,00,00,00,
94070652,000001AB,false,Rx,0,8,ED,00,04,02,18,00,04,00,
94071422,000000AD,false,Rx,0,8,86,E1,BF,FF,00,14,00,00,
94071677,000000AE,false,Rx,0,8,30,01,00,00,FF,3C,01,02,
94071832,000000AF,false,Rx,0,4,83,7A,7C,01,00,00,00,00,
94071988,00000128,false,Rx,0,3,80,00,00,00,00,00,00,00,
94072253,00000462,false,Rx,0,8,00,00,38,00,00,01,00,00,
94072477,0000012D,false,Rx,0,8,F2,89,7F,00,00,00,FE,3F,
