Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
978728177,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
978771288,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
978788146,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
978831323,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
978848471,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
978891356,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
978908461,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
978951237,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
978968856,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
979011314,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979029215,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
979071353,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979089134,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
979131227,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979149195,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
979191372,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979198767,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
979209633,00000779,false,Rx,0,8,05,62,2B,F3,01,00,AA,AA,
979251387,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979269568,00000779,false,Rx,0,8,05,62,2B,F3,02,00,AA,AA,
979311332,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979330335,00000779,false,Rx,0,8,05,62,2B,F3,02,00,AA,AA,
979371363,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979390987,00000779,false,Rx,0,8,05,62,2B,F3,03,00,AA,AA,
979431332,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979451284,00000779,false,Rx,0,8,05,62,2B,F3,03,00,AA,AA,
979491297,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979511344,00000779,false,Rx,0,8,05,62,2B,F3,03,00,AA,AA,
979551316,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979571303,00000779,false,Rx,0,8,05,62,2B,F3,03,00,AA,AA,
979611264,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979631030,00000779,false,Rx,0,8,05,62,2B,F3,03,00,AA,AA,
979671313,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979691022,00000779,false,Rx,0,8,05,62,2B,F3,03,00,AA,AA,
979698759,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
979731272,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979751060,00000779,false,Rx,0,8,05,62,2B,F3,03,00,AA,AA,
979791231,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979811318,00000779,false,Rx,0,8,05,62,2B,F3,03,00,AA,AA,
979851301,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979871256,00000779,false,Rx,0,8,05,62,2B,F3,03,00,AA,AA,
979911376,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979931757,00000779,false,Rx,0,8,05,62,2B,F3,04,00,AA,AA,
979971314,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
979991264,00000779,false,Rx,0,8,05,62,2B,F3,04,00,AA,AA,
980031265,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
