Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
564401055,000000A7,false,Rx,0,8,8F,EF,5F,7F,FD,F5,A7,3D,
564401060,000000A8,false,Rx,0,8,D9,AF,1D,61,82,64,30,0E,
564401065,17331110,true,Rx,0,5,44,51,0F,1C,11,00,00,00,
564401070,000000AD,false,Rx,0,8,86,E1,BF,FF,00,14,00,00,
564401076,000000AE,false,Rx,0,8,30,01,00,00,FF,3C,01,02,
564401081,00000128,false,Rx,0,3,80,00,00,00,00,00,00,00,
564401086,0000012D,false,Rx,0,8,F2,89,7F,00,00,00,FE,3F,
564401091,00000086,false,Rx,0,8,3A,0F,1E,20,00,00,00,00,
564401097,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
564401102,00000101,false,Rx,0,8,FB,0F,80,00,A2,00,40,00,
564401107,00000106,false,Rx,0,8,6A,0F,63,00,02,00,00,00,
564401113,00000040,false,Rx,0,8,F9,0C,00,44,C1,00,00,00,
564401118,0000011E,false,Rx,0,8,96,0F,00,00,00,00,00,00,
564401123,000003DE,false,Rx,0,8,FE,00,00,00,00,00,00,00,
564401129,000003D8,false,Rx,0,8,00,00,08,00,00,00,00,00,
564401134,00000520,false,Rx,0,8,E7,01,00,08,00,0A,00,0A,
564402613,000003B5,false,Rx,0,8,87,FE,12,3C,0C,92,20,00,
564403203,000005EA,false,Rx,0,8,00,00,00,36,F8,FE,FB,FF,
564403352,000000AF,false,Rx,0,4,83,7C,00,00,00,00,00,00,
564403651,1B000053,true,Rx,0,8,53,00,04,01,01,00,00,00,
564404223,1A55552B,true,Rx,0,8,00,00,00,00,00,FE,F8,03,
564405171,000000A7,false,Rx,0,8,46,E0,5F,7F,FD,F5,A7,3D,
564405406,000000A8,false,Rx,0,8,B4,A0,1D,21,82,64,34,0E,
564405639,00000107,false,Rx,0,8,00,00,F8,2C,01,00,C2,B5,
564405889,00000120,false,Rx,0,8,26,00,00,02,01,08,FF,01,
564406123,00000121,false,Rx,0,8,27,00,00,80,37,5A,7E,FE,
564406358,000000AD,false,Rx,0,8,62,E2,BF,FF,00,14,00,00,
564406591,00000147,false,Rx,0,8,00,00,00,00,F0,93,60,1D,
564406848,000000AE,false,Rx,0,8,31,02,00,00,FF,3C,01,02,
564407437,00000086,false,Rx,0,8,78,00,1E,20,00,00,00,00,
564407820,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
